"SID","station_group"
1495,"Coast Norway"
1508,"Coast Norway"
1482,"Coast Norway"
1478,"Coast Norway"
1476,"Coast Norway"
1467,"Coast Norway"
1448,"Coast Norway"
1430,"Coast Norway"
1436,"Coast Norway"
1427,"Coast Norway"
1426,"Coast Norway"
1412,"Coast Norway"
1411,"Coast Norway"
1414,"Coast Norway"
1406,"Coast Norway"
1418,"Coast Norway"
1307,"Coast Norway"
1308,"Coast Norway"
1304,"Coast Norway"
1203,"Coast Norway"
1205,"Coast Norway"
1210,"Coast Norway"
1212,"Coast Norway"
1225,"Coast Norway"
1228,"Coast Norway"
1240,"Coast Norway"
1259,"Coast Norway"
1262,"Coast Norway"
1102,"Coast Norway"
1108,"Coast Norway"
1117,"Coast Norway"
1121,"Coast Norway"
1115,"Coast Norway"
1144,"Coast Norway"
1152,"Coast Norway"
1160,"Coast Norway"
1156,"Coast Norway"
1010,"Coast Norway"
1012,"Coast Norway"
1015,"Coast Norway"
1021,"Coast Norway"
1033,"Coast Norway"
1044,"Coast Norway"
1055,"Coast Norway"
1068,"Coast Norway"
1074,"Coast Norway"
1083,"Coast Norway"
1092,"Coast Norway"
1098,"Coast Norway"
1088,"Coast Norway"
1112,"North Norway"
1108,"North Norway"
1117,"North Norway"
1116,"North Norway"
1122,"North Norway"
1133,"North Norway"
1132,"North Norway"
1135,"North Norway"
1147,"North Norway"
1146,"North Norway"
1151,"North Norway"
1150,"North Norway"
1121,"North Norway"
1115,"North Norway"
1611,"North Norway"
1114,"North Norway"
1169,"North Norway"
1158,"North Norway"
1153,"North Norway"
1152,"North Norway"
1144,"North Norway"
1143,"North Norway"
1192,"North Norway"
1193,"North Norway"
1183,"North Norway"
1105,"North Norway"
1160,"North Norway"
1161,"North Norway"
1141,"North Norway"
1139,"North Norway"
1107,"North Norway"
1524,"North Norway"
1167,"North Norway"
1162,"North Norway"
1156,"North Norway"
1010,"North Norway"
1018,"North Norway"
1180,"North Norway"
1015,"North Norway"
1030,"North Norway"
1023,"North Norway"
1521,"North Norway"
1198,"North Norway"
1027,"North Norway"
1026,"North Norway"
1025,"North Norway"
1513,"North Norway"
1514,"North Norway"
1512,"North Norway"
1021,"North Norway"
1022,"North Norway"
1038,"North Norway"
1033,"North Norway"
1035,"North Norway"
1037,"North Norway"
1046,"North Norway"
1045,"North Norway"
1612,"North Norway"
1044,"North Norway"
1042,"North Norway"
1058,"North Norway"
1047,"North Norway"
1199,"North Norway"
1043,"North Norway"
1052,"North Norway"
1055,"North Norway"
1518,"North Norway"
1068,"North Norway"
1059,"North Norway"
1074,"North Norway"
1078,"North Norway"
1076,"North Norway"
1065,"North Norway"
1057,"North Norway"
1083,"North Norway"
1086,"North Norway"
1092,"North Norway"
1098,"North Norway"
1099,"North Norway"
1088,"North Norway"
1089,"North Norway"
1085,"North Norway"
